tripduration,index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
535.0,146,1,01/01/2021 12:14:02 AM,01/01/2021 12:22:57 AM,3,0.8,1,N,161,170,1,7.0,3.0,0.5,0.0,0.0,0.3,10.8,2.5
857.0,147,1,01/01/2021 12:58:21 AM,01/01/2021 01:12:38 AM,1,3.5,1,N,113,65,1,13.5,3.0,0.5,3.45,0.0,0.3,20.75,2.5
1018.0,148,2,01/01/2021 12:06:25 AM,01/01/2021 12:23:23 AM,1,6.17,1,N,48,41,2,20.0,0.5,0.5,0.0,0.0,0.3,23.8,2.5
464.0,149,2,01/01/2021 12:43:41 AM,01/01/2021 12:51:25 AM,1,0.79,1,N,161,48,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
1079.0,150,2,01/01/2021 12:05:35 AM,01/01/2021 12:23:34 AM,1,5.1,1,N,113,236,1,17.5,0.5,0.5,6.39,0.0,0.3,27.69,2.5
1187.0,151,2,01/01/2021 12:41:46 AM,01/01/2021 01:01:33 AM,4,5.08,1,N,113,36,2,19.0,0.5,0.5,0.0,0.0,0.3,22.8,2.5
226.0,154,1,01/01/2021 12:14:54 AM,01/01/2021 12:18:40 AM,1,1.2,1,N,141,236,1,5.5,3.0,0.5,2.0,0.0,0.3,11.3,2.5
353.0,155,1,01/01/2021 12:27:18 AM,01/01/2021 12:33:11 AM,2,0.7,1,N,161,229,1,5.5,3.0,0.5,1.0,0.0,0.3,10.3,2.5
673.0,156,1,01/01/2021 12:59:35 AM,01/01/2021 01:10:48 AM,1,3.3,1,Y,143,41,2,11.5,3.0,0.5,0.0,0.0,0.3,15.3,2.5
735.0,158,2,01/01/2021 12:24:43 AM,01/01/2021 12:36:58 AM,1,3.4,1,N,100,231,1,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5
618.0,159,2,01/01/2021 12:56:49 AM,01/01/2021 01:07:07 AM,1,2.76,1,N,249,233,1,10.5,0.5,0.5,2.86,0.0,0.3,17.16,2.5
31.0,160,1,01/01/2021 12:30:33 AM,01/01/2021 12:31:04 AM,2,0.0,5,N,233,233,1,12.0,0.0,0.0,2.45,0.0,0.3,14.75,0.0
121.0,161,1,01/01/2021 12:51:15 AM,01/01/2021 12:53:16 AM,1,0.6,1,N,237,141,1,4.0,3.0,0.5,2.0,0.0,0.3,9.8,2.5
555.0,162,2,01/01/2021 12:18:14 AM,01/01/2021 12:27:29 AM,2,1.98,1,N,142,229,1,9.0,0.5,0.5,5.0,0.0,0.3,17.8,2.5
396.0,163,2,01/01/2021 12:30:45 AM,01/01/2021 12:37:21 AM,2,2.71,1,N,229,137,1,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
480.0,164,2,01/01/2021 12:53:17 AM,01/01/2021 01:01:17 AM,1,1.07,1,N,79,144,2,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5
1070.0,165,2,01/01/2021 12:24:21 AM,01/01/2021 12:42:11 AM,1,0.81,1,N,100,230,2,11.0,0.5,0.5,0.0,0.0,0.3,14.8,2.5
754.0,166,2,01/01/2021 12:02:18 AM,01/01/2021 12:14:52 AM,1,2.27,1,N,186,79,2,11.0,0.5,0.5,0.0,0.0,0.3,14.8,2.5
413.0,167,2,01/01/2021 12:17:53 AM,01/01/2021 12:24:46 AM,1,1.5,1,N,107,162,2,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5
231.0,168,2,01/01/2021 12:40:48 AM,01/01/2021 12:44:39 AM,2,0.77,1,N,90,90,1,4.5,0.5,0.5,2.0,0.0,0.3,10.3,2.5
656.0,169,2,01/01/2021 12:04:58 AM,01/01/2021 12:15:54 AM,1,1.73,1,N,48,164,1,8.5,0.5,0.5,3.69,0.0,0.3,15.99,2.5
324.0,170,2,01/01/2021 12:44:23 AM,01/01/2021 12:49:47 AM,1,1.44,1,N,162,237,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
253.0,171,2,01/01/2021 12:25:27 AM,01/01/2021 12:29:40 AM,1,1.08,1,N,234,249,1,5.5,0.5,0.5,2.32,0.0,0.3,11.62,2.5
1125.0,172,2,01/01/2021 12:53:48 AM,01/01/2021 01:12:33 AM,1,4.69,1,N,234,239,1,17.5,0.5,0.5,5.32,0.0,0.3,26.62,2.5
